,model,dataset,accuracy,accuracy,f1,f1,roc_auc,roc_auc,log_loss,log_loss,ks,ks,fold,fold,train_time_s,train_time_s,rmse,rmse,mae,mae,r2,r2,f1_macro,f1_macro,f1_weighted,f1_weighted,roc_auc_ovr,roc_auc_ovr
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
82,mlp,jannis,0.7223150689225184,0.002013756021609814,,,,,0.6804353656391535,0.00440366922120455,,,2.0,1.5811388300841898,56.401515656593254,14.41870656679826,,,,,,,0.5422938072440949,0.00572262935076654,0.7172301612089406,0.002047936338733342,0.876368515978562,0.0019536045438945026
83,mlp,kin8nm,,,,,,,,,,,2.0,1.5811388300841898,3.524069487815723,1.9541700167038412,0.0763650790659353,0.00628727836039735,0.0593988257348265,0.004373839970057575,0.9150761725405079,0.016531243319709354,,,,,,
84,mlp,magictelescope,0.8587850467289719,0.00481557870205171,0.8509547016778379,0.004491051385989643,0.9339395580400035,0.003345832692179683,0.3231695836398997,0.008008198569373721,0.7272897196261683,0.014378558584999703,2.0,1.5811388300841898,5.726587556605227,0.783316939775829,,,,,,,,,,,,
85,mlp,phoneme,0.8753230036394776,0.01261958892095439,0.784233630464389,0.022514546125697435,0.9449248529608256,0.010205112318905986,0.2696870907791551,0.023396150140414587,0.7467564835447936,0.0321959697422805,2.0,1.5811388300841898,3.3571654356084766,1.1124424527416772,,,,,,,,,,,,
86,mlp,superconduct,,,,,,,,,,,2.0,1.5811388300841898,21.4479242399917,4.494528587421763,0.8598914122773877,0.012921864038227891,0.6271017718983873,0.009420658318739126,0.1460948009767734,0.014402312926161282,,,,,,
87,mlp,telco_customer_churn,0.80174105320559,0.013319236365827455,0.5903621098347094,0.03626256087798399,0.8448308325963572,0.015657609590461002,0.41736055680162065,0.01680352607077954,0.5492933136879301,0.03543099945581027,2.0,1.5811388300841898,0.6747255102032795,0.09875198791682885,,,,,,,,,,,,
88,mlp,wine_quality,,,,,,,,,,,2.0,1.5811388300841898,3.4976284440024754,0.7520117670777944,0.6768898635227545,0.025888598885359333,0.5189170463298141,0.021033788108630408,0.40225101630890847,0.02987437784300993,,,,,,
89,mlp,year_prediction,,,,,,,,,,,2.0,1.5811388300841898,66.83427787260152,2.2302643489529284,9.559163118122331,0.09775246129493367,6.941184065246583,0.16029865277412397,0.23053284197947788,0.01528662687046514,,,,,,
90,realmlp,adult,0.8645354884952301,0.006218746690771529,0.6862221957072168,0.01498086516420094,0.9190905290816721,0.004887166816068883,0.3098171679444521,0.009019431634640168,0.6725665868489539,0.008845432917750683,2.0,1.5811388300841898,77.67820691139931,28.16132521851994,,,,,,,,,,,,
91,realmlp,amazon_employee,0.9465954606141522,0.0005721914934197955,0.9722375603351064,0.0003029688164209161,0.8143147464999425,0.014518704766825966,0.183787132368273,0.002970819404137645,0.5007261198153936,0.03185140756524234,2.0,1.5811388300841898,19.83372629459482,6.61433856052546,,,,,,,,,,,,
92,realmlp,bank_marketing,0.9108605418419655,0.0020823443629776964,0.5864383006158747,0.012800740961622177,0.934729219856503,0.0024473764728498424,0.19693427520110324,0.00353081435616341,0.7451975964835268,0.01601359997719871,2.0,1.5811388300841898,29.788299208786338,20.956173491095495,,,,,,,,,,,,
93,realmlp,california_housing,,,,,,,,,,,2.0,1.5811388300841898,25.02084257239476,0.6528853551442502,0.27914338419327395,0.004496223990394556,0.15464219374933402,0.004539815594703056,0.6881853440805008,0.010027377794098968,,,,,,
